A_out,U_out,Lambda_out,Gamma1_out,Gamma2_out
65.02593994140625,34.811912536621094,0.19998829066753387,0.10560162365436554,2.1769692466477863e-06
37.94451904296875,24.053783416748047,0.010497904382646084,0.14324450492858887,0.9998714923858643
83.15654754638672,61.57162094116211,0.01021377183496952,6.149978162284242e-06,0.9999842643737793
72.7242660522461,46.626216888427734,0.06670791655778885,1.872552104487113e-07,3.5375201150600333e-06
114.33006286621094,110.28736114501953,0.001126880873925984,8.661960237077437e-06,0.563058614730835
60.01906967163086,43.074039459228516,0.14848479628562927,4.526667453319533e-06,2.8426038625184447e-06
62.35445022583008,42.31145477294922,0.10743023455142975,4.7072529696379206e-07,1.3304266133218334e-07
70.7430419921875,47.85215759277344,0.011108249425888062,0.9999966621398926,1.4997642665548483e-06
53.25020980834961,25.54888343811035,0.03576838597655296,1.4964561160013545e-05,0.9999239444732666
43.17807388305664,36.80812072753906,0.056616075336933136,3.7741865526186302e-06,1.465907075726136e-06
91.32986450195312,77.60403442382812,0.005816468503326178,5.470476480695652e-06,0.999941349029541
55.61042785644531,48.23938751220703,0.08305538445711136,1.0819304918641137e-07,6.546189013079129e-08
92.91152954101562,91.9686279296875,0.005614803172647953,9.807048400034546e-07,7.64893457017024e-07
73.02239227294922,66.56510162353516,0.04592332988977432,2.8346264002721e-07,2.2640838892584725e-07
94.35858917236328,38.74784469604492,0.07463245838880539,2.1382580598583445e-05,0.9999613761901855
56.08501434326172,53.036128997802734,0.08497961610555649,2.4188130964830634e-07,1.0245447157331e-07
56.560096740722656,26.34086036682129,0.08438360691070557,7.159986125770956e-06,0.9999866485595703
170.50184631347656,170.50184631347656,0.003162017557770014,7.11794783114783e-08,1.1586627834958563e-07
97.74571228027344,34.44162368774414,0.19999854266643524,0.13984240591526031,1.5952220564940944e-05
42.01979446411133,38.75166320800781,0.023663053289055824,2.7161568141309544e-06,0.03210752084851265
71.4275131225586,60.516971588134766,0.07150322198867798,1.0658863658363771e-07,1.3369935913942754e-07
31.6649112701416,31.608314514160156,0.043853264302015305,5.121659796714084e-06,4.470876319828676e-06
91.14481353759766,28.962148666381836,0.1487952321767807,0.999763548374176,0.9999145269393921
41.94286346435547,41.94286346435547,0.047798316925764084,3.4703087294474244e-05,3.746641255020222e-07
54.313167572021484,40.70549774169922,0.0683232918381691,1.4579376284018508e-07,1.3648022445522656e-07
63.590721130371094,57.1165885925293,0.0008348489063791931,0.999728262424469,3.697122519952245e-05
56.26615905761719,48.66912078857422,0.12829706072807312,1.1326300608516249e-07,7.615178532205391e-08
37.8256721496582,32.9843635559082,0.022697605192661285,0.1785639077425003,0.22223739326000214
52.08720397949219,50.126136779785156,3.22103339556179e-08,0.0017130352789536119,0.006438492797315121
54.13228225708008,39.421958923339844,0.09555747359991074,4.781171583090327e-07,1.7528550699807965e-07
52.720184326171875,31.97900390625,0.11878392845392227,6.895983801769034e-07,1.3614082945423434e-06
63.38910675048828,13.477849960327148,0.004070120397955179,0.9997958540916443,1.3826542271999642e-05
64.02692413330078,43.320899963378906,0.08188898116350174,1.250797936336312e-07,5.238853972855395e-08
75.3204116821289,56.433265686035156,0.020334068685770035,0.370856374502182,9.433492778043728e-06
31.44829559326172,25.768295288085938,0.11298970133066177,7.757972525723744e-06,0.05598275735974312
83.87093353271484,46.24128723144531,0.0524795837700367,6.039898181597891e-08,8.601291767718067e-08
96.99012756347656,19.2996883392334,0.026976188644766808,1.4550914784194902e-05,0.9999678134918213
39.93827819824219,39.93827819824219,0.030684996396303177,4.672816942274949e-07,2.4741930815253e-07
59.014930725097656,44.069297790527344,0.054441362619400024,2.620938346353796e-07,1.337964334879871e-07
54.35310363769531,44.10709762573242,0.1338346302509308,3.572135938156862e-07,2.8401788654264237e-07
80.8846435546875,71.01805114746094,0.06364066153764725,5.8692307902674656e-08,1.197888224169219e-07
51.935699462890625,33.896156311035156,0.02632354199886322,0.9990185499191284,1.2285736374906264e-05
79.27395629882812,59.33790588378906,0.025249233469367027,8.214549325202825e-07,0.0066940272226929665
61.5185546875,47.96260452270508,0.11412318050861359,1.2687141293099558e-07,2.2075496985962673e-08
95.6221923828125,34.34233856201172,0.09827550500631332,7.300889592443127e-06,0.9999874830245972
141.40225219726562,121.95551300048828,0.0027333616744726896,0.21321964263916016,0.12757383286952972
75.6136474609375,9.476005554199219,0.19999869167804718,0.9999834299087524,0.9999891519546509
59.41500473022461,54.98301696777344,0.02222897671163082,1.023001573230431e-06,0.08588840067386627
91.78311920166016,46.117401123046875,0.09705161303281784,9.741688700160012e-06,0.999983549118042
14.141573905944824,14.141573905944824,0.03232453018426895,1.553782226437761e-06,2.949819418063271e-06
96.21180725097656,13.43486499786377,0.10735614597797394,0.12815648317337036,1.82808653335087e-05
45.521183013916016,38.34825897216797,0.030170822516083717,1.4598844018109958e-06,1.1216802704439033e-06
60.11066818237305,45.16850662231445,0.007980349473655224,4.165571681369329e-06,0.999903678894043
55.41436004638672,35.99397659301758,0.014853323809802532,0.9999756813049316,1.0255128472635988e-05
32.84360122680664,29.627622604370117,0.006255817599594593,6.382339961419348e-06,0.9999709129333496
60.165367126464844,41.95813751220703,0.02671496570110321,0.9999887943267822,8.039157364692073e-06
87.38288879394531,39.10812759399414,0.03355690836906433,2.022837435333713e-07,3.7700283428421244e-07
41.254207611083984,37.10847091674805,0.009966435842216015,0.9991517066955566,0.9999550580978394
57.73678970336914,52.08934783935547,0.007896999828517437,3.0631304980488494e-05,0.9999678134918213
28.28345489501953,24.301748275756836,0.003861414035782218,1.2006922588625457e-05,0.9999839067459106
76.0020523071289,76.0020523071289,0.009930006228387356,6.009022968100908e-08,0.14078493416309357
57.444557189941406,48.85961151123047,0.005494029726833105,5.537383458431577e-06,0.9994832277297974
